player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,투구수,이닝,피안타,2루타,3루타,홈런,희생번트,희생플라이,볼넷,고의4구,삼진,폭투,보크,실점,자책점,블론세이브,이닝당 출루허용률,피안타율,퀄리티스타트
51454,57.0,이승현,삼성,투수,2002-05-19,183,102,남도초-경복중-대구상원고,51454,5.42,25,0,0,4,9,0,0,0.308,471,1840,101.33333333333333,121,23,2,10,7,3,46,0,74,2,0,64,61,0,1.65,0.298,2
51460,59.0,이재희,삼성,투수,2001-10-11,187,100,대전신흥초-한밭중-대전고-삼성-상무,51460,3.0,11,0,0,0,2,0,4,0.0,39,157,9.0,7,1,1,0,0,0,5,0,9,0,0,3,3,0,1.33,0.206,0
51516,15.0,김진욱,롯데,투수,2002-07-05,185,90,수원신곡초-춘천중-강릉고,51516,10.0,14,0,0,1,3,0,0,0.25,136,544,27.0,42,6,0,10,2,1,16,0,24,0,0,32,30,2,2.15,0.365,1
51526,20.0,우강훈,LG,투수,2002-10-03,183,88,희망대초-매송중-야탑고-롯데,51526,4.66,11,0,0,0,0,0,0,0.0,46,180,9.666666666666666,12,2,0,0,0,1,6,0,5,0,0,5,5,0,1.86,0.324,0
51546,46.0,정우준,롯데,투수,2000-03-17,180,82,태랑초(남양주리틀)-청원중-서울고-강릉영동대-롯데-상무,51546,5.4,3,0,0,0,0,0,0,0.0,16,58,3.3333333333333335,6,3,0,0,0,0,0,0,3,0,0,2,2,0,1.8,0.4,0
51594,59.0,송재영,롯데,투수,2002-06-20,181,84,수원잠원초(수원영통구리틀)-매향중-라온고-롯데-상무,51594,4.0,46,0,0,1,0,0,3,1.0,121,491,27.0,19,4,0,3,1,2,24,0,28,2,0,13,12,0,1.59,0.202,0
51648,48.0,이의리,KIA,투수,2002-06-16,185,90,광주수창초-충장중-광주제일고,51648,7.94,10,0,0,1,4,0,0,0.2,193,784,39.666666666666664,41,9,3,6,3,2,31,0,42,1,0,37,35,0,1.82,0.266,2
51715,15.0,김기중,한화,투수,2002-11-16,186,96,의왕부곡초-매송중-유신고,51715,3.07,5,0,0,0,1,0,0,0.0,66,259,14.666666666666666,16,2,1,0,0,1,6,0,8,1,0,5,5,0,1.5,0.276,0
51867,39.0,김건우,SSG,투수,2002-07-12,185,88,가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무,51867,3.82,35,0,0,5,4,0,2,0.556,301,1241,66.0,53,14,0,2,2,2,49,1,68,4,0,31,28,0,1.55,0.22,0
51897,19.0,조병현,SSG,투수,2002-05-08,182,90,온양온천초-온양중-세광고-SK-SSG-상무,51897,1.6,69,0,0,5,4,30,0,0.556,255,1088,67.33333333333333,42,7,0,5,1,1,18,2,79,1,0,13,12,2,0.89,0.179,0
51994,25.0,한재승,KIA,투수,2001-11-21,180,90,동막초-상인천중-인천고-NC,51994,6.48,36,0,0,1,1,1,1,0.5,161,685,33.333333333333336,40,4,0,5,1,2,31,0,35,4,0,29,24,0,2.13,0.317,0
52060,60.0,박영현,KT,투수,2003-10-11,183,91,부천북초-부천중-유신고,52060,3.39,67,0,0,5,6,35,1,0.455,305,1228,69.0,68,10,1,9,4,1,34,4,77,6,1,31,26,7,1.48,0.258,0
52202,65.0,윤태호,두산,투수,2003-10-10,190,88,상인천초-동인천중-인천고,52202,6.75,10,0,0,0,1,0,1,0.0,73,287,17.333333333333332,16,6,0,2,2,1,5,0,16,2,0,14,13,0,1.21,0.246,0
52204,29.0,이병헌,두산,투수,2003-06-04,183,95,역삼초-영동중-서울고,52204,6.23,22,0,0,0,0,0,4,0.0,56,216,13.0,11,1,0,1,0,1,10,2,9,0,0,9,9,0,1.62,0.244,0
52206,42.0,최지강,두산,투수,2001-07-23,180,88,광주서석초-광주동성중-광주동성고-강릉영동대,52206,6.34,39,0,0,2,5,0,5,0.286,149,582,32.666666666666664,41,5,0,3,3,0,13,1,38,3,0,25,23,4,1.65,0.313,0
52330,,주승우,키움,투수,2000-01-30,180,82,송추초(의정부리틀)-영동중-서울고-성균관대,52330,2.45,42,0,0,2,2,16,5,0.5,179,713,44.0,35,1,0,7,2,0,17,0,35,1,0,13,12,4,1.18,0.222,0
52395,95.0,윤석원,키움,투수,2003-07-04,185,81,부산대연초-개성중-부산고,52395,5.54,37,0,0,1,1,0,8,0.5,160,623,37.333333333333336,41,9,3,3,1,1,12,2,27,0,0,23,23,1,1.42,0.285,0
52528,,반즈,롯데,투수,1995-10-01,189,91,미국 Clemson(대)-롯데,52528,5.32,8,0,0,3,4,0,0,0.429,204,761,45.666666666666664,47,14,2,4,2,1,17,0,38,2,0,31,27,0,1.4,0.258,3
52530,37.0,이민석,롯데,투수,2003-12-10,189,95,부산수영초-대천중-개성고,52530,5.26,20,0,0,2,5,0,0,0.286,417,1596,87.33333333333333,104,13,2,10,3,4,56,0,61,2,0,56,51,0,1.83,0.295,4
52639,39.0,최지민,KIA,투수,2003-09-10,185,100,강릉율곡초(강릉리틀)-경포중-강릉고,52639,6.58,66,0,0,2,4,0,9,0.333,253,1042,53.333333333333336,46,7,1,5,2,3,51,0,39,4,0,40,39,0,1.82,0.238,0
52641,41.0,황동하,KIA,투수,2002-07-30,183,96,진북초-전라중-인상고,52641,5.3,18,0,0,1,2,0,0,0.333,155,576,35.666666666666664,38,14,1,4,3,2,10,0,31,0,0,21,21,1,1.35,0.277,0
52701,1.0,문동주,한화,투수,2003-12-23,188,97,광주화정초-무등중-진흥고,52701,4.02,24,1,0,11,5,0,0,0.688,501,1947,121.0,112,16,5,7,3,4,31,0,135,11,0,57,54,0,1.18,0.243,11
52731,96.0,박준영,한화,투수,2003-03-02,190,103,청주우암초(청주시리틀)-세광중-세광고,52731,3.6,1,0,0,0,0,0,0,0.0,24,110,5.0,3,0,0,0,0,1,6,0,3,0,0,2,2,0,1.8,0.176,0
52809,65.0,전영준,SSG,투수,2002-04-16,190,100,부곡초-휘문중-대구고-SSG-상무,52809,4.61,34,0,0,1,5,0,0,0.167,228,993,52.666666666666664,48,9,0,5,3,1,26,1,55,3,0,28,27,0,1.41,0.249,0
52902,19.0,임지민,NC,투수,2003-10-11,185,82,가평목동초(가평리틀)-춘천중-강원고,52902,3.86,7,0,0,0,1,0,1,0.0,20,84,4.666666666666667,1,0,0,0,0,1,5,0,7,0,0,2,2,1,1.29,0.071,0
52903,64.0,조민석,NC,투수,1998-12-21,180,83,천안남산초-천안북중-부천고-원광대-NC-상무,52903,6.92,6,0,0,0,1,0,0,0.0,61,258,13.0,12,2,0,3,0,0,11,0,4,2,0,10,10,0,1.77,0.25,0
52992,40.0,이준혁,NC,투수,2003-06-30,184,87,용인포곡초(처인구리틀)-성일중-율곡고-NC,52992,7.3,25,0,0,1,3,0,0,0.25,170,699,37.0,43,7,1,8,2,1,20,2,30,4,0,33,30,0,1.7,0.305,0
52995,22.0,김녹원,NC,투수,2003-05-17,182,88,학강초-무등중-광주제일고,52995,6.56,21,0,0,3,4,0,1,0.429,327,1290,70.0,75,13,1,10,5,1,47,0,37,4,0,53,51,0,1.74,0.277,0
